id;nom;categorie;reference;prix;Column1
82;GLOBUS Elite;Appareils sport et fitness;GL-ELI;249;
85;GLOBUS Duo Pro;Appareils sport et fitness;GL-PAL;129;
3116;SPORECUP XTR4;Appareils sport et fitness;SP-XT4;229;
5884;GLOBUS Activa 700;Appareils sport et fitness;GL-A700;399;
5889;GLOBUS Triathlon Pro;Appareils sport et fitness;GL-TRIATHLON;349;
5893;GLOBUS The Winner;Appareils sport et fitness;GL-TW;599;
5931;GLOBUS Elite SII;Appareils sport et fitness;GL-ELSII;159;
5939;GLOBUS Premium 400;Appareils sport et fitness;GL-P400;349;
11066;VEINOPLUS Veinoplus Sport;Appareils sport et fitness;VEI-3401060242;1;
115;GENERIQUE Electrodes 50x90 mm 2 sorties;Électrodes et gels;GENERIQUE;8.9;
222;GENERIQUE Electrodes carrées 50x50 mm;Électrodes et gels;GENERIQUE;5.6;
223;GENERIQUE Electrodes 50x90 mm;Électrodes et gels;GENERIQUE;5.9;
227;GENERIQUE Flacon de gel conducteur;Électrodes et gels;GENERIQUE;3.9;
21783;CEFAR-COMPEX Kit Electrodes Cefar-Compex;Électrodes et gels;CEFAR-COMPEX;None;
14;CEFAR-COMPEX Jeu 2 electrodes à Fil Dura-stick...;Électrodes et gels;CEFAR-COMPEX;5.8;
116;CEFAR-COMPEX Electrodes Premium 50x50mm;Électrodes et gels;CEFAR-COMPEX;9.7;
117;CEFAR-COMPEX Electrodes Premium 50x90 mm;Électrodes et gels;CEFAR-COMPEX;14.6;
187;CEFAR-COMPEX Jeu de 4 électrodes Ø 32 mm;Électrodes et gels;CEFAR-COMPEX;5.4;
188;CEFAR-COMPEX Electrodes rondes Ø 50 mm;Électrodes et gels;CEFAR-COMPEX;5.4;
190;CEFAR-COMPEX Jeu de 4 électrodes à Fil Dura-st...;Électrodes et gels;CEFAR-COMPEX;5.8;
191;CEFAR-COMPEX Jeu de 4 électrodes à Fil Dura-st...;Électrodes et gels;CEFAR-COMPEX;4;
199;CEFAR-COMPEX Electrodes Peaux sensibles carrées;Électrodes et gels;CEFAR-COMPEX;21.4;
317;GENERIQUE Kit Electrodes PHYSIOTHERAPIE.com;Électrodes et gels;GENERIQUE;None;
351;CEFAR-COMPEX Electrodes CLIP 50x100 mm;Électrodes et gels;CEFAR-COMPEX;6.9;
352;CEFAR Electrodes CLIP 50x50 mm;Électrodes et gels;CEFAR;5.9;
361;COMPEX Jeu de 2 électrodes Performance SNAP 50...;Électrodes et gels;COMPEX;9.9;
362;COMPEX Jeu de 4 électrodes Performance SNAP 50...;Électrodes et gels;COMPEX;9.9;
426;PHYSIOTHERAPIE.com Electrodes Elastomère au mètre;Électrodes et gels;PHYSIOTHERAPIE.com;27;
1215;CHATTANOOGA Flacon de Gel ultrason 250ml;Électrodes et gels;CHATTANOOGA;6;
2542;CEFAR Lot de 4 Electrodes Carbone;Électrodes et gels;CEFAR;12;
2543;GENERIQUE 2 Eponges Chamex pour électrodes car...;Électrodes et gels;GENERIQUE;6.2;
3169;PHYSIOTHERAPIE.com Kit Electrodes 50x90mm (X8)...;Électrodes et gels;PHYSIOTHERAPIE.com;None;
3172;COMPEX Jeu de 2 électrodes Performance SNAP 50...;Électrodes et gels;COMPEX;9.9;
3474;PHYSIOTHERAPIE.com Gel ultrason ECO;Électrodes et gels;PHYSIOTHERAPIE.com;None;
3881;CHATTANOOGA Kit électrodes Vacuum 60 mm (x4);Électrodes et gels;CHATTANOOGA;108;
3883;CHATTANOOGA Kit éponges Vacuum de 60 mm (X4);Électrodes et gels;CHATTANOOGA;13;
4536;CEFAR-COMPEX Electrodes Premium Ovale 80x130mm...;Électrodes et gels;CEFAR-COMPEX;12;
5926;GYMNA Physio Care CONTACT - Gel ultrason;Électrodes et gels;GYMNA;None;
6029;CHATTANOOGA Eponges pour electrodes vacuum de ...;Électrodes et gels;CHATTANOOGA;16;
16778;NAGGURA Table N'GO308 2 plans;Tables électriques Naggura;NAGGURA;2010;
16711;NAGGURA Table N'GO301 2 plans;Tables électriques Naggura;NAGGURA;2029;
16773;NAGGURA Table Ostéopathie N'GO303 2 plans;Tables électriques Naggura;NAGGURA;2100;
19542;NAGGURA Table N'GO304 3 plans;Tables électriques Naggura;NAGGURA;2140;
16789;NAGGURA Table N'RUN 301 2 plans;Tables électriques Naggura;NAGGURA;2700;
16870;NAGGURA Table N'RUN 308 2 plans;Tables électriques Naggura;NAGGURA;2760;
19555;NAGGURA Table N'RUN 303 2 plans;Tables électriques Naggura;NAGGURA;3000;
16802;NAGGURA Table N'RUN 302 3 plans;Tables électriques Naggura;NAGGURA;3480;
19558;NAGGURA Table N'RUN 304 3 plans;Tables électriques Naggura;NAGGURA;3480;
16863;NAGGURA Table N'RUN 305 4 plans;Tables électriques Naggura;NAGGURA;3600;
17684;CHATTANOOGA Tabouret Standard Galaxy/Montane;Tables électriques Galaxy;CHATTANOOGA;199;
7706;CHATTANOOGA Table GALAXY 2 Plans DOS;Tables électriques Galaxy;CHATTANOOGA;1730;
8689;CHATTANOOGA Table GALAXY 4 Plans;Tables électriques Galaxy;CHATTANOOGA;1805;
8685;CHATTANOOGA Table GALAXY 3 Plans;Tables électriques Galaxy;CHATTANOOGA;1930;
8692;CHATTANOOGA Table GALAXY 5 Plans;Tables électriques Galaxy;CHATTANOOGA;2100;
1421;FERROX Table PICASSO CLUB 2 plans;Tables électriques Ferrox;FERROX;1645;
12735;FERROX Table PICASSO GRAND DOSSIER XL 2 plans;Tables électriques Ferrox;FERROX;1675;
10683;FERROX Table BOTTICELLI PRO 4 plans;Tables électriques Ferrox;FERROX;1734;
1420;FERROX Table MATISSE 4 plans;Tables électriques Ferrox;FERROX;1778;
9547;FERROX Table PICASSO COMFORT 2 plans;Tables électriques Ferrox;FERROX;1780;
10689;FERROX Table ALBATROS i-treat 2 plans;Tables électriques Ferrox;FERROX;1795;
10690;FERROX Table ALOUETTE i-treat 2 plans;Tables électriques Ferrox;FERROX;1795;
10591;FERROX Table PICASSO QUATTRO 4 plans;Tables électriques Ferrox;FERROX;2140;
10701;FERROX Table IBIS i-treat 4 plans;Tables électriques Ferrox;FERROX;2250;
10612;FERROX Table CEZANNE PRO II 5 plans;Tables électriques Ferrox;FERROX;2440;
1413;FERROX Table CHAGALL 4 plans;Tables électriques Ferrox;FERROX;2845;
10655;FERROX Table CHAGALL 5 plans;Tables électriques Ferrox;FERROX;2945;
10657;FERROX Table CHAGALL 6 plans;Tables électriques Ferrox;FERROX;2995;
6283;FERROX Table CHAGALL 8 plans;Tables électriques Ferrox;FERROX;3380;
10689;FERROX Table ALBATROS i-treat 2 plans;Tables électriques FERROX I-TREAT;FERROX;1795;
10690;FERROX Table ALOUETTE i-treat 2 plans;Tables électriques FERROX I-TREAT;FERROX;1795;
10701;FERROX Table IBIS i-treat 4 plans;Tables électriques FERROX I-TREAT;FERROX;2250;
3006;CHATTANOOGA Coussins MONTANE Demi-lune;Tables électriques Montane;CHATTANOOGA;35;
3007;CHATTANOOGA Coussins MONTANE Rond;Tables électriques Montane;CHATTANOOGA;39;
3005;CHATTANOOGA Coussins MONTANE Triangle;Tables électriques Montane;CHATTANOOGA;45;
17684;CHATTANOOGA Tabouret Standard Galaxy/Montane;Tables électriques Montane;CHATTANOOGA;199;
1527;CHATTANOOGA Table MONTANE Columbia Fixe 2 plans;Tables électriques Montane;CHATTANOOGA;495;
2722;CHATTANOOGA Table MONTANE Tatras Gerlach 2 plans;Tables électriques Montane;CHATTANOOGA;2520;
17577;CHATTANOOGA Table MONTANE Tatras 2 plans;Tables électriques Montane;CHATTANOOGA;2520;
17589;CHATTANOOGA Table MONTANE Atlas 3 plans;Tables électriques Montane;CHATTANOOGA;2765;
